,word,weight
0,abandon,0.28334854241780344
1,abandoned,0.942708869379217
2,abbas,1.7311906790915046
3,abc,3.4156159436142035
4,ability,1.6852230733461309
5,able,2.7701019669299076
6,aboard,0.8879921469635295
7,above,3.0964803396849194
8,abroad,1.1477454848959878
9,absence,0.9260847815765513
10,absent,0.464449123975759
11,absolutely,0.7915035880778113
12,abstract,0.7903055557801958
13,abu,1.7298087916807086
14,abuse,1.4416488977171757
15,academic,1.493763114901373
16,academics,0.5974475630819122
17,academy,0.9255425151492264
18,accept,1.1746752117303447
19,accepted,1.12140055235927
20,accepting,0.5168824248964958
21,access,1.3799472471633838
22,accident,1.325830523839084
23,accompanied,0.8464364168401167
24,accomplished,0.6447233868958582
25,accord,0.8003738285233589
26,according,5.790979110428837
27,account,1.9280814986123345
28,accounts,0.8480910329639588
29,accusations,1.586013030075693
30,accuse,0.5465947660014026
31,accused,3.434814325012326
32,accusing,0.6658948458708925
33,accustomed,0.38904007066017177
34,ace,1.0552158992075367
35,achieve,0.586278613000927
36,achieved,0.5450037665146682
37,acknowledge,0.661059643295376
38,acknowledged,1.8838457908772326
39,acquired,1.109252637178092
40,acre,0.44775401778598956
41,acres,0.7177239778493064
42,across,4.306692399522153
43,act,2.138306633498025
44,acted,0.6621978872330941
45,acting,1.2246438991026274
46,action,2.8488025429850423
47,actions,1.2073560516038697
48,active,1.0682193545055993
49,activities,1.2973960234354733
50,activity,1.031591208843163
51,actor,0.822470785351153
52,acts,0.8048048292505687
53,actual,0.5292044810209126
54,actually,2.1085954468809986
55,adam,1.4871828312565247
56,adams,0.9613371595280188
57,adapt,0.4702089313799154
58,add,1.3266220315931325
59,added,5.228895590523286
60,adding,2.5601340931337533
61,addition,1.7965869746099032
62,additional,1.5008717496820783
63,address,2.397507286278721
64,addressed,0.6502365676288766
65,addressing,0.5420583576526317
66,adds,0.5133249117565132
67,adjusted,0.49761918768383095
68,administration,3.8586940023302767
69,administrations,0.5180398273318625
70,administrative,0.6151953991432066
71,administrator,0.9819449349163585
72,admission,0.7224028308025312
73,admit,0.47418638785131106
74,admitted,1.129337205708353
75,admitting,0.6876862831865714
76,adopt,0.5692383881060709
77,adopted,1.1406386513478257
78,adults,1.2738481964039616
79,advance,1.0027091969465742
80,advanced,0.5031843242372676
81,advantage,1.3913541005585335
82,advertising,0.8606490365969959
83,advice,0.8449666328012087
84,advised,0.3885131741774142
85,adviser,1.103557396008206
86,advisers,1.2822369408716825
87,advocacy,0.6974744305544095
88,advocates,0.6146412762108414
89,aesthetic,0.5831677703446717
90,afc,1.1949940072838625
91,affairs,1.2015943560368492
92,affect,0.7074161428065953
93,affected,1.1492765187680185
94,afford,0.7057011502886666
95,afghan,1.9011830602013287
96,afghanistan,2.209764894547817
97,afraid,0.8400221809476518
98,africa,1.5125547594683135
99,african,2.3439255287250984
100,africanamerican,1.1288989543421752
101,aftermath,0.5168956114044392
102,afternoon,1.833713646879698
103,afterward,0.6082841285076279
104,again,3.9744515758590504
105,against,10.360853564520887
106,age,2.9533616471381436
107,agence,0.4676330053696305
108,agencies,1.9324340388496077
109,agency,4.258975763430767
110,agencys,0.5658279608788854
111,agenda,0.6856641730036441
112,agent,2.1269537474568634
113,agents,2.2974311791888105
114,ages,0.6063635864809092
115,aggressive,1.024938333042509
116,aggressively,0.37813547752893883
117,aging,0.4316106712541318
118,ago,6.098037254287224
119,agree,1.1417980504040317
120,agreed,2.915742140765536
121,agreement,2.9614869610127137
122,agreements,0.5960325974120557
123,agriculture,0.8184746820832336
124,ahead,2.2775193121712376
125,ahmed,0.7479132529919946
126,aid,1.0222172183333647
127,aide,1.240356786075864
128,aides,1.5087300000971624
129,aimed,0.6933726541490114
130,air,2.673434319774711
131,airborne,0.6295748990067668
132,aircraft,0.8710564950721092
133,airlines,0.4537396560979381
134,airport,2.2408426419549707
135,al,2.7031263631718887
136,alabama,0.8173305737649381
137,alan,1.759457541556542
138,alarm,0.7178991950301981
139,album,4.567417088567349
140,albums,1.0527786583031455
141,alcohol,0.7217915906626908
142,aleksandr,0.427235693424117
143,alert,0.5814501278658983
144,alex,0.7097577656428457
145,alexander,1.2491238589135754
146,alfred,0.5676054497641878
147,ali,1.5271233349346574
148,alice,0.6679700141657438
149,alive,1.1424288592320808
150,allegations,1.5468875519653196
151,allen,1.031750726379534
152,alliance,1.3891988293222697
153,allies,0.8692560723190267
154,allow,2.3832930755549744
155,allowed,2.374048548201995
156,allowing,1.1125124645361177
157,allows,0.8227672704863664
158,allstar,1.1448290405267394
159,ally,1.466621208366072
160,almost,4.2903830243296275
161,alone,1.7977286345493124
162,along,4.624797174568067
163,alongside,0.8069085672735332
164,already,4.6259930645253515
165,alternative,1.2496002832920776
166,although,3.5083773806186382
167,always,3.7021286746297672
168,am,3.9945260053853313
169,amazing,0.601745790193871
170,ambassador,0.9392962288843216
171,ambitions,0.4411857798219071
172,ambitious,0.7468268307080191
173,america,2.7842256975562845
174,american,9.077887226112916
175,americans,2.354348157190147
176,americas,1.0147528896975853
177,amid,1.0141301107832488
178,among,6.0974091700321935
179,amount,1.2959566995379386
180,amounts,0.34162064059035896
181,analysis,1.2600860153765594
182,analyst,0.6475493833574875
183,analysts,1.05282593722278
184,anarchy,0.40111071051973013
185,anatomy,1.15055975924079
186,ancient,0.5232653315297023
187,anderson,1.4003805405728804
188,andrea,1.003150674424111
189,andrew,0.9165235205405977
190,andy,1.3083735081067016
191,angel,0.8846698851395366
192,angela,0.6623339793274234
193,angeles,4.256288058343977
194,anger,0.8746037800059561
